case_id,provider,gold_coarse,gold_subtype,latency_s,word_count,json_valid,est_cost_usd,summary,correctness_1to5,actionability_1to5,clarity_for_novice_1to5,no_solution_leak_0or1
case_19,ollama-qwen2.5-coder,logic_error,off_by_one_index,5.67,58,1,0,Your code has a logic error due to an off by one index issue.,4,4,4,1
case_20,template,logic_error,returning_early,0,36,1,0,Logic issue detected. Classifier confidence: 0.95. Detected pattern: returning early.,2,2,4,1
case_20,gemini-flash,logic_error,returning_early,1.74,0,0,0,,1,1,1,1
case_20,ollama-qwen2.5-coder,logic_error,returning_early,4.01,36,1,0,The function returns early without giving a value.,4,3,4,1
case_21,template,logic_error,returning_early,0,36,1,0,Logic issue detected. Classifier confidence: 0.95. Detected pattern: returning early.,2,2,4,1
case_21,gemini-flash,logic_error,returning_early,2.03,0,0,0,,1,1,1,1
case_21,ollama-qwen2.5-coder,logic_error,returning_early,4.94,35,1,0,The function `getBill` currently returns early without applying the discount to the total.,4,4,4,1
case_22,template,logic_error,swapped_for_range,0,36,1,0,Logic issue detected. Classifier confidence: 0.95. Detected pattern: swapped for range.,2,2,4,1
case_22,gemini-flash,logic_error,swapped_for_range,0.22,0,0,0,,1,1,1,1
case_22,ollama-qwen2.5-coder,logic_error,swapped_for_range,4.81,27,1,0,The code has a logic error in counting character frequencies.,3,3,3,1
case_23,template,logic_error,swapped_for_range,0,36,1,0,Logic issue detected. Classifier confidence: 0.95. Detected pattern: swapped for range.,2,2,4,1
case_23,gemini-flash,logic_error,swapped_for_range,0.25,0,0,0,,1,1,1,1
case_23,ollama-qwen2.5-coder,logic_error,swapped_for_range,4.93,39,1,0,The code has a logic error related to how it processes the 'ghosts' list.,3,3,3,1
case_24,template,variable_misuse,use_before_definition,0,31,1,0,Variable misuse detected. Classifier confidence: 0.95. Detected pattern: use before definition.,2,2,4,1
case_24,gemini-flash,variable_misuse,use_before_definition,0.82,0,0,0,,1,1,1,1
case_24,ollama-qwen2.5-coder,variable_misuse,use_before_definition,5.3,43,1,0,The variable `x` is being used before it's defined.,4,4,4,1
case_25,template,variable_misuse,use_before_definition,0,31,1,0,Variable misuse detected. Classifier confidence: 0.95. Detected pattern: use before definition.,2,2,4,1
case_25,gemini-flash,variable_misuse,use_before_definition,1.02,0,0,0,,1,1,1,1
case_25,ollama-qwen2.5-coder,variable_misuse,use_before_definition,5.45,36,1,0,The variable `self` is being used before it's defined.,3,3,3,1
case_26,template,variable_misuse,variable_name_typo,0,31,1,0,Variable misuse detected. Classifier confidence: 0.95. Detected pattern: variable name typo.,2,2,4,1
case_26,gemini-flash,variable_misuse,variable_name_typo,6.53,59,1,0,It looks like there's a small typo in one of your variable names that's preventing it from updating correctly.,4,4,4,1
case_26,ollama-qwen2.5-coder,variable_misuse,variable_name_typo,5.72,34,1,0,There's a typo in the variable name `maxDistmaxDist`.,5,4,4,1
case_27,template,variable_misuse,variable_name_typo,0,31,1,0,Variable misuse detected. Classifier confidence: 0.95. Detected pattern: variable name typo.,2,2,4,1
case_27,gemini-flash,variable_misuse,variable_name_typo,0.99,0,0,0,,1,1,1,1
case_27,ollama-qwen2.5-coder,variable_misuse,variable_name_typo,5.05,24,1,0,There are typos in variable names.,4,3,4,1
case_28,template,no_bug,,0,36,1,0,No obvious bug detected. Classifier confidence: 0.95.,3,2,4,1
case_28,gemini-flash,no_bug,,6.47,59,1,0,"Your code is almost perfect, but the 'arrow' key name isn't recognized by `pyautogui.hotkey()`.",2,3,4,1
case_28,ollama-qwen2.5-coder,no_bug,,4.44,29,1,0,The code uses 'arrow' instead of specifying a direction for the arrow key.,2,3,3,1
case_29,template,no_bug,,0,36,1,0,No obvious bug detected. Classifier confidence: 0.95.,3,2,4,1
case_29,gemini-flash,no_bug,,8.36,0,0,0,,1,1,1,1
case_29,ollama-qwen2.5-coder,no_bug,,4.47,25,1,0,The code does not handle negative numbers correctly.,2,2,3,1
